Date,Quantity
2024-Nov,84
2024-Nov,790
2024-Nov,5508
2024-Nov,8037
2024-Nov,2761
2024-Nov,5312
2024-Nov,1473
2024-Nov,734
2024-Nov,12859
2024-Nov,2
2024-Nov,2745
2024-Nov,29024
2024-Nov,9760
2024-Nov,20097
2024-Nov,5597
2024-Nov,818
2024-Oct,42
2024-Oct,3561
2024-Oct,734
2024-Oct,9023
2024-Oct,1
2024-Oct,995
2024-Oct,4313
2024-Oct,4219
2024-Oct,82
2024-Oct,3758
2024-Oct,5933
2024-Oct,144
2024-Oct,1346
2024-Oct,101
2024-Oct,5231
2024-Oct,1
2024-Oct,2559
2024-Oct,2350
2024-Oct,3736
2024-Oct,3388
2024-Oct,1074
2024-Oct,2152
2024-Oct,2692
2024-Oct,6929
2024-Oct,4566
2024-Sep,2593
2024-Sep,4
2024-Sep,2420
2024-Sep,1275
2024-Sep,6452
2024-Sep,454
2024-Sep,1430
2024-Sep,212
2024-Sep,262
2024-Sep,1544
2024-Sep,543
2024-Sep,4003
2024-Sep,8
2024-Sep,12343
2024-Sep,2346
2024-Sep,2891
2024-Sep,2229
2024-Sep,693
2024-Sep,300
2024-Sep,4513
2024-Sep,3096
2024-Sep,877
2024-Aug,1
2024-Aug,2476
2024-Aug,10147
2024-Aug,575
2024-Aug,496
2024-Aug,2412
2024-Aug,9
2024-Aug,5766
2024-Aug,2326
2024-Aug,4571
2024-Aug,11028
2024-Aug,5573
2024-Aug,1
2024-Aug,58
2024-Aug,388
2024-Aug,6499
2024-Aug,2566
2024-Aug,1820
2024-Aug,22453
2024-Aug,1412
2024-Aug,595
2024-Aug,583
2024-Aug,26248
2024-Aug,2
2024-Aug,26391
2024-Aug,5285
2024-Jul,13714
2024-Jul,73259
2024-Jul,40047
2024-Jul,954
2024-Jul,826
2024-Jul,2833
2024-Jul,9003
2024-Jul,2197
2024-Jul,2304
2024-Jul,1139
2024-Jul,2478
2024-Jul,27687
2024-Jul,2403
2024-Jul,7
2024-Jul,1703
2024-Jul,8690
2024-Jul,11024
2024-Jul,40114
2024-Jul,19966
2024-Jul,1
2024-Jul,4315
2024-Jul,9
2024-Jul,14885
2024-Jul,4374
2024-Jul,30166
2024-Jun,1
2024-Jun,77389
2024-Jun,4267
2024-Jun,506
2024-Jun,7430
2024-Jun,17732
2024-Jun,576
2024-Jun,43617
2024-Jun,4693
2024-Jun,1811
2024-Jun,13356
2024-Jun,18085
2024-Jun,54
2024-Jun,5414
2024-Jun,13330
2024-Jun,31692
2024-Jun,10285
2024-Jun,2823
2024-Jun,25
2024-Jun,765
2024-Jun,2511
2024-Jun,1016
2024-Jun,1266
2024-Jun,14849
2024-May,1
2024-Jun,52
2024-May,4051
2024-May,45906
2024-May,4994
2024-May,2129
2024-May,6
2024-May,3720
2024-May,13248
2024-May,20290
2024-May,548
2024-May,6799
2024-May,20669
2024-May,4416
2024-May,24103
2024-May,14215
2024-May,27581
2024-May,10
2024-May,16568
2024-May,7069
2024-May,398
2024-May,31440
2024-May,7127
2024-May,4
2024-May,2566
2024-May,5383
2024-May,9630
2024-Apr,2174
2024-May,1488
2024-Apr,11402
2024-Apr,2
2024-Apr,6031
2024-Apr,14597
2024-Apr,473
2024-Apr,20276
2024-Apr,10506
2024-Apr,8
2024-Apr,26680
2024-Apr,519
2024-Apr,4913
2024-Apr,4689
2024-Apr,39504
2024-Apr,4
2024-Apr,11840
2024-Apr,2251
2024-Apr,22447
2024-Apr,9841
2024-Apr,21818
2024-Apr,3
2024-Apr,708
2024-Apr,17057
2024-Apr,2998
2024-Mar,7
2024-Apr,1997
2024-Apr,7757
2024-Mar,11
2024-Mar,18324
2024-Mar,581
2024-Mar,12584
2024-Mar,11816
2024-Mar,21857
2024-Mar,355
2024-Mar,261
2024-Mar,292
2024-Mar,12331
2024-Mar,10002
2024-Mar,8342
2024-Mar,1081
2024-Mar,274
2024-Mar,5458
2024-Mar,17600
2024-Mar,4
2024-Mar,152
2024-Mar,85
2024-Mar,16573
2024-Mar,8518
2024-Mar,479
2024-Mar,2850
2024-Feb,39041
2024-Feb,2599
2024-Feb,3318
2024-Feb,8589
2024-Feb,5172
2024-Feb,128
2024-Feb,1636
2024-Feb,8330
2024-Feb,264
2024-Feb,136
2024-Feb,154
2024-Feb,206
2024-Feb,730
2024-Feb,12139
2024-Feb,71
2024-Feb,1623
2024-Feb,4381
2024-Feb,1333
2024-Feb,25719
2024-Feb,2064
2024-Feb,2074
2024-Jan,2050
2024-Jan,4456
2024-Jan,1045
2024-Jan,135
2024-Jan,126
2024-Jan,496
2024-Jan,1420
2024-Jan,12497
2024-Jan,1
2024-Jan,872
2024-Jan,13065
2024-Jan,185
2024-Jan,12
2024-Jan,201
2024-Jan,32
2024-Jan,22834
2024-Jan,10535
2024-Jan,11527
2024-Jan,10236
2024-Jan,1741
2024-Jan,2631
2024-Jan,352
2024-Jan,9804
2023-Dec,1
2023-Dec,7006
2023-Dec,12191
2023-Dec,8044
2023-Dec,68
2023-Dec,6845
2023-Dec,15047
