Date,Quantity
11/17/2024,84
11/17/2024,790
11/17/2024,5508
11/17/2024,8037
11/10/2024,2761
11/10/2024,5312
11/10/2024,1473
11/10/2024,734
11/10/2024,12859
11/10/2024,2
11/3/2024,2745
11/3/2024,29023
11/10/2024,1
11/3/2024,9760
11/3/2024,20097
10/27/2024,1
11/3/2024,5596
10/27/2024,818
10/27/2024,42
10/27/2024,3561
10/27/2024,734
10/20/2024,4
10/27/2024,9019
10/20/2024,1
10/20/2024,994
10/27/2024,1
10/20/2024,4313
10/20/2024,4219
10/20/2024,82
10/20/2024,3758
10/13/2024,5933
10/13/2024,144
10/13/2024,1346
10/13/2024,101
10/13/2024,5231
10/6/2024,1
10/6/2024,2427
10/13/2024,132
10/6/2024,2350
10/6/2024,3736
10/6/2024,3388
10/6/2024,1074
9/29/2024,2151
10/6/2024,1
9/29/2024,2692
9/29/2024,6713
10/13/2024,216
9/29/2024,4566
9/29/2024,2593
9/22/2024,4
9/22/2024,2420
9/22/2024,1275
9/22/2024,6452
9/22/2024,454
9/22/2024,1430
9/15/2024,212
9/15/2024,262
9/15/2024,1544
9/8/2024,2
9/15/2024,541
9/15/2024,4003
9/8/2024,8
9/8/2024,10747
9/15/2024,1596
9/8/2024,2166
9/15/2024,180
9/8/2024,2891
9/8/2024,2229
9/1/2024,1
9/8/2024,692
9/1/2024,300
9/1/2024,4513
9/1/2024,3096
9/1/2024,877
8/25/2024,1
8/25/2024,2476
8/25/2024,10147
8/25/2024,575
8/25/2024,496
8/18/2024,1
8/25/2024,2411
8/18/2024,9
8/18/2024,5764
8/25/2024,2
8/18/2024,2326
8/18/2024,4571
8/18/2024,11028
8/18/2024,5573
8/11/2024,1
8/11/2024,58
8/11/2024,388
8/11/2024,6499
8/11/2024,2566
8/11/2024,1820
8/4/2024,22451
8/11/2024,2
8/4/2024,1412
8/4/2024,595
8/4/2024,583
8/4/2024,26248
7/28/2024,2
7/28/2024,26390
8/4/2024,1
7/28/2024,5285
7/28/2024,13714
7/28/2024,73259
7/28/2024,40047
7/21/2024,954
7/21/2024,826
7/21/2024,2833
7/21/2024,9003
7/14/2024,166
7/21/2024,2031
7/14/2024,2304
7/14/2024,1139
7/14/2024,2478
7/14/2024,27686
7/21/2024,1
7/7/2024,1
7/14/2024,2402
7/7/2024,7
7/7/2024,1643
7/14/2024,60
7/7/2024,8689
7/21/2024,1
7/7/2024,11024
7/7/2024,40114
7/7/2024,19966
6/30/2024,1
6/30/2024,4314
7/7/2024,1
6/30/2024,9
6/30/2024,14885
6/30/2024,4326
7/7/2024,48
6/30/2024,30166
6/9/2024,1
6/23/2024,77389
6/23/2024,4267
6/9/2024,4
6/23/2024,502
6/23/2024,7430
6/16/2024,5
6/23/2024,17727
6/16/2024,575
6/23/2024,1
6/9/2024,4
6/16/2024,43613
6/9/2024,1
6/16/2024,4692
6/9/2024,1
6/16/2024,513
6/23/2024,1297
6/16/2024,13356
6/9/2024,3
6/16/2024,18082
6/9/2024,54
6/2/2024,1
6/9/2024,5412
6/16/2024,1
6/9/2024,13330
6/2/2024,4
6/9/2024,31688
6/9/2024,10285
6/9/2024,2823
6/2/2024,24
6/9/2024,1
6/2/2024,764
6/9/2024,1
6/2/2024,2511
6/2/2024,1016
6/2/2024,1266
6/2/2024,14849
5/26/2024,53
5/26/2024,4051
5/26/2024,45906
5/26/2024,4994
5/26/2024,2129
5/19/2024,6
5/19/2024,3715
5/26/2024,5
5/19/2024,13248
5/19/2024,20288
5/26/2024,2
5/19/2024,548
5/12/2024,2
5/19/2024,6797
5/12/2024,20669
5/12/2024,4416
5/12/2024,24103
5/12/2024,14215
5/12/2024,27581
5/5/2024,10
5/5/2024,16568
5/5/2024,7069
5/5/2024,398
5/5/2024,31439
5/19/2024,1
4/28/2024,11
5/5/2024,7116
4/28/2024,4
4/28/2024,2566
4/28/2024,5383
4/28/2024,9630
4/21/2024,3
4/28/2024,3659
4/28/2024,11402
4/21/2024,2
4/21/2024,6030
4/28/2024,1
4/21/2024,14597
4/21/2024,473
4/21/2024,20276
4/21/2024,10506
4/14/2024,7
4/21/2024,1
3/31/2024,1
4/7/2024,5
4/14/2024,26674
4/14/2024,519
4/14/2024,4913
3/31/2024,1
4/14/2024,4688
4/14/2024,39504
4/7/2024,4
4/7/2024,11833
4/14/2024,7
4/7/2024,2251
4/7/2024,22447
4/7/2024,9841
4/7/2024,21614
4/14/2024,60
4/28/2024,144
3/31/2024,3
3/31/2024,708
3/31/2024,17057
3/31/2024,2997
4/14/2024,1
3/24/2024,7
3/31/2024,1997
3/31/2024,7757
3/24/2024,11
3/17/2024,3
3/24/2024,18321
3/10/2024,5
3/17/2024,3
3/24/2024,573
3/24/2024,12584
3/24/2024,11816
3/24/2024,21857
3/17/2024,247
